resort_name,local_name,country,region,ski_area,type,opening_date_2026_27,opening_date_status,max_elevation_m,piste_km,ticket_price_min,ticket_price_max,currency,price_status,driving_distance_km_from_milan,driving_time_h_from_milan,road_head,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,comments,sources,confidence
Mölltal Glacier,Mölltaler Gletscher,AT,Carinthia,Mölltal Glacier (Flattach),Glacier,2026-10-23,confirmed_2026_27,3122,36,72.0,72.0,EUR,published_2026_27,464,6.01,,3.5,3.5,"High glacier terrain (up to 3,122 m) with open off-piste below Schareck/Eissee and ski routes but a small area; touring in the Goldberg group (Schareck, Hoher Sonnblick via Fraganter Huette) is good but typical Austrian-glacier level.",https://www.moelltaler-gletscher.at/gletscher/live-kameras,"Glacier with autumn-to-late-spring operation: 2026/27 season 23.10.2026-30.05.2027, closed 14.09.-22.10.2026. Adult 1-day 72.00 EUR in all periods (peak 25.12.2026-06.01.2027 and 24.01.-13.03.2027), afternoon ticket 61 EUR; GoPass e-shop advertises online discounts (not itemised). Former domain gletscher.co.at now redirects to moelltaler-gletscher.at. Base = Gletscher Express funicular valley station, Innerfragant (Flattach). From Italy via Tarvisio-Villach-Spittal-Moelltal or Lienz-Iselbergpass (open in winter); no Hochalpenstrasse involved.",http://web.archive.org/web/20251012/https://www.gletscher.co.at/ | https://www.moelltaler-gletscher.at/tarife/winter/moelltaler-gletscher | https://www.moelltaler-gletscher.at/ | https://www.moelltaler-gletscher.at/gletscher/winter | https://www.moelltaler-gletscher.at/gletscher/live-kameras | https://www.skiresort.com/en/ski-resort/moelltal-glacier-moelltaler-gletscher/,medium
Kitzbühel,,AT,Tyrol,KitzSki,Non-glacier,2026-11-06,confirmed_2026_27,2000,188,83.0,83.0,EUR,published_2026_27,481,5.88,,3.0,3.0,"Dedicated Bichlalm freeride area and Zweitausender/Resterhöhe off-piste, but low grass mountains with limited steep terrain and no contest history; touring: popular easy Kitzbühel Alps day tours (Bichlalm, Kitzbüheler Horn) with modest variety.",https://www.kitzski.at/en/current-info/webcams.html,"Price = Premium-Saison 20.12.2026-13.03.2027 ticket-office price 83 EUR (Vorteils 76, Spar 69); online booking cheaper (flexible online pricing); 2025/26: Resterkogel (Pass Thurn) from 07.11.2025 weekends only via snow-farming, Hahnenkamm/Fleckalm from 22.11.2025, Horn 06.12.2025, full link 12.12.2025; 2026/27 Resterkogel 06.11.2026, Hahnenkamm 21-22.11.2026, core area 27/28.11.2026; base = Hahnenkammbahn; from Italy via Brenner-Inntal or Felbertauern tunnel (toll) + Pass Thurn (open winter).",https://www.kitzski.at/de/fahrplan-winter-2024-25.html | https://www.kitzski.at/media/preise-26-27-hp-de.pdf | https://www.kitzbueheler-alpen.com/de/bri/wi/ski/kitzski-preise.html | https://www.snowplaza.de/weblog/ski-fahren-ab-november-kitzbuehel-setzt-auf-innovative-schneespeicherung/ | https://alpinfans.com/viewtopic.php?t=2857 | https://www.skiresort.com/en/ski-resort/kitzski-kitzbuehel-kirchberg/ | https://www.kitzski.at/en/current-info/webcams.html,medium
Obergurgl–Hochgurgl,,AT,Tyrol,Gurgl,Non-glacier,2026-11-19,confirmed_2026_27,3030,112,75.5,75.5,EUR,published_2026_27,484,5.89,,4.0,3.5,Open Faces FWQ venue (Gurgl) with extensive high off-piste on both Obergurgl and Hochgurgl sides; rubric anchor 3.5 for touring (Obergurgl).,https://www.gurgl.com/en/live-information/livecams,"Dynamic pricing: 75.50 = 2026/27 peak-season spot (cash-desk) price, high season 69.50, pre-season 64; online early booking cheaper. 1- and 2-day tickets valid only in Gurgl (3+ days Oetztal Superskipass). Timmelsjoch closed in winter. Base = Festkoglbahn valley station car park at Obergurgl entrance. 2025/26 date from forum reports, not an official notice. Milan route forced via Ötztal Bahnhof to avoid closed Timmelsjoch.",https://www.gurgl.com/en/activities/winter/skiing-snowboarding/ski-passes-prices/ski-pass-prices | https://www.gurgl.com/en/activities/winter/skiing-snowboarding/ski-area-information | https://alpinfans.com/viewtopic.php?t=2879 | https://www.skiresort.com/en/ski-resort/gurgl-obergurgl-hochgurgl/,medium
Axamer Lizum,,AT,Tyrol,Axamer Lizum (Innsbruck),Non-glacier,2026-11-20,estimated_from_2025_26,2340,40,63.0,63.0,EUR,estimated_from_2025_26,405,4.89,,3.5,3.5,"Open Faces FWQ venue and Innsbruck's freeride hotspot (steep Hoadl/Pleisen/Birgitzkoepfl faces, Kalkkoegel backdrop); touring in Kalkkoegel/Stubai Alps decent but limited variety. Calibrated to 3.5 (small area).",https://www.axamer-lizum.at/webcams,"2026/27 opening not clearly published: official site lists Hoadl-Haus winter opening 20 Nov and Ski Opening event 27 Nov 2026; skinachrichten.de says 21 Nov 2026, skiinfo.de 21 Dec 2026. 2025/26 fixed prices: high season (20.12.25-22.03.26) 63, pre/late 56.50; 2026/27 winter tariffs not yet online. Base = Hoadlbahn valley station car park (1560 m).",https://www.axamer-lizum.at/ | https://www.axamer-lizum.at/tarife | https://www.bergfex.com/axamer-lizum/preise/ | https://www.skiresort.com/en/ski-resort/axamer-lizum/ | https://skinachrichten.de/saisonstart-alle-infos-zu-den-saisonzeiten-der-skigebiete/ | https://www.skiinfo.de/tirol/saisoneroeffnung-skigebiete,medium
Obertauern,,AT,Salzburg,Obertauern,Non-glacier,2026-11-20,confirmed_2026_27,2313,100,72.0,72.0,EUR,published_2026_27,613,6.57,,3.5,4.0,"High snow-sure bowl (1,630-2,313 m) with well-known off-piste between lifts and the 45-degree Gamsleiten 2, but limited vertical; the Radstaedter Tauern around Obertauern is a popular, well-documented ski-touring region (Seekarspitze, Zehnerkar, Hundskogel).",https://www.obertauern.com/en/winter/service-info/webcams.html,"Fixed pricing (no dynamic pricing): 2026/27 adult 1-day 72.00 EUR in both Season A (26.12.2026-08.01.2027, 23.01.-02.04.2027) and Season B (20.11.-25.12.2026, 09.01.-22.01.2027, 03.04.-02.05.2027); from 1.5 days also valid in Grosseck-Speiereck. 2025/26 started 21 Nov 2025 in limited form (valley runs from 22 Nov). Base = village centre (car park at the lifts, 1,740 m). Resort lies on the Radstaedter Tauern pass road, kept open in winter; from Italy via A10 Tauern motorway (Katschberg tunnel) or B99 Katschberg pass (open). Piste km from skiresort.com.",https://www.alpinforum.com/forum/viewtopic.php?t=71417 | https://www.obertauern.com/de | https://www.obertauern.com/en/winter/ski-resort/ski-pass-prices.html | https://www.obertauern.com/en/winter/service-info/webcams.html | https://www.skiresort.com/en/ski-resort/obertauern/,medium
Schladming,,AT,Styria,Schladming-Dachstein 4-Berge-Skischaukel,Non-glacier,2026-11-20,confirmed_2026_27,2015,123,69.5,81.5,EUR,published_2026_27,651,6.97,,3.0,3.5,"World-Cup piste resort at 745-2,015 m with limited off-piste (some on Reiteralm/Hochwurzen); the Schladminger Tauern are a popular touring region (Giglachseen, Hochwurzen and Planai piste tours), so touring 3.5.",https://www.planai.at/en/info-service/webcams-weather/webcam,"Ski amade dynamic pricing (Schladming-Dachstein region): main season 19.12.2026-26.03.2027 adult day online 69.50-81.50 EUR, ticket office 81.50 EUR; pre/post 64.50-76.00. 2025/26 per mountain: Reiteralm 21 Nov, Planai 22 Nov, Hauser Kaibling 29 Nov, Hochwurzen 5 Dec 2025 (ski-opening event 5-7 Dec). 2026/27: Reiteralm 20 Nov, Hauser Kaibling 28 Nov, Hochwurzen 4 Dec 2026, Planai TBA; ski-opening event 11-12 Dec 2026. Base = Planai valley station, Schladming. Elevation/km from skiresort.com. No winter pass closure from Italy (A10 Tauern motorway via Radstadt).",https://www.alpinforum.com/forum/viewtopic.php?t=71331 | https://www.planai.at/en/activities/events-news/ski-opening | https://www.skiamade.com/de/skigebiete/schladming-dachstein/saisonzeiten | https://www.planai.at/en/tickets-price/price-winter/skitickets | https://www.skiamade.com/pdf/tarife/Tageskartentarife-Schladming-Dachstein-2026-27.pdf | https://www.planai.at/en/info-service/webcams-weather/webcam | https://www.skiresort.com/en/ski-resort/schladming-planai-hochwurzen-hauser-kaibling-reiteralm-4-berge-skischaukel/,medium
Ischgl,,AT,Tyrol,Silvretta Arena (Ischgl–Samnaun),Non-glacier,2026-11-26,confirmed_2026_27,2872,239,83.0,83.0,EUR,published_2026_27,381,5.19,,4.0,4.0,"Large high resort with well-known off-piste (Piz Val Gronda, Palinkopf, Samnaun side) and guide offices; rubric anchor 4.0 for touring (Paznaun/Silvretta day tours from Ischgl).",https://www.ischgl.com/en/plan-your-trip/webcams,"Fixed price list, no dynamic pricing: 1-day VIP Skipass 83 EUR for 2026/27 (unchanged from 2025/26), same in START/main/FIRN periods; day pass also valid on the Swiss Samnaun side. Base = Silvrettabahn A1 valley station in Ischgl village (OSM). Paznaun valley road open in winter.",https://www.ischgl.com/en/winter/operating-times-prices/skipass-prices-vip | https://tickets.ischgl.com/de/winter/support/prices | https://www.ischgl.com/en/events-experiences/topevents/top-of-the-mountain-opening-concert_event_55277883 | https://www.tyrol.com/activities/events/all-events/top-of-the-mountain-opening-concert | https://www.skiresort.com/en/ski-resort/ischgl-samnaun-silvretta-arena/,high
Bad Gastein,,AT,Salzburg,Ski amadé – Gastein (Stubnerkogel/Graukogel/Sportgastein),Non-glacier,2026-11-27,confirmed_2026_27,2650,168,69.5,81.5,EUR,published_2026_27,679,7.49,,3.5,3.5,"Sportgastein (1,590-2,650 m) is a recognised freeride area with three official freeride routes, Freeride Info Base, Avalanche Training Center and FWQ history, plus steep Graukogel; Gastein offers good Tauern day tours (Schareck, Baukogel, Sportgastein) but is not a major touring hub. Calibrated to 3.5 (compact area).",https://www.skigastein.com/en/webcams-in-skigastein/,"Ski amade dynamic pricing: main season 19.12.2026-26.03.2027 adult day online 69.50-81.50 EUR, ticket office 81.50 EUR; start/finale 64.50-76.00; pre/post 59.00. Max elevation = Sportgastein Goldbergbahn top (official 2,650 m); Stubnerkogel 2,246 m. Official km: Sportgastein 24 km, Dorfgastein-Grossarl about 70 km (skiresort figures used for consistency). 2026/27: Stubnerkogel/Schlossalm partial from 27 Nov, daily from 11 Dec 2026; Sportgastein daily from 18 Dec 2026; Graukogel operates only Thu-Sun from late Dec. Base = Stubnerkogelbahn valley station. From Italy via Tauern motorway A10 (or Tauernschleuse car train Mallnitz-Boeckstein) - no winter closure. Milan route uses OSRM alternative avoiding closed Staller Sattel.",http://web.archive.org/web/20251215/https://www.skiamade.com/de/skigebiete/gastein/saisonzeiten | https://www.skigastein.com/en/tickets-lifts/operating-hours-lifts/ | https://www.skigastein.com/en/tickets-lifts/winter-tickets/day-tickets/ | https://www.skiamade.com/pdf/tarife/Tageskartentarife-Gastein-2026-27.pdf | https://www.skigastein.com/de/skigebiet/sportgastein | https://www.skigastein.com/de/skigebiet/schlossalm-angertal-stubnerkogel | https://www.skiresort.com/en/ski-resort/bad-gastein-bad-hofgastein-schlossalm-angertal-stubnerkogel/ | https://www.skiresort.com/en/ski-resort/sportgastein/,medium
Bad Hofgastein,,AT,Salzburg,Ski amadé – Gastein (Schlossalm–Angertal),Non-glacier,2026-11-27,confirmed_2026_27,2246,168,69.5,81.5,EUR,published_2026_27,671,7.36,,3.0,3.5,"Schlossalm-Angertal is broad, mostly on-piste terrain with modest side-country (the serious freeride is in Sportgastein, same ticket); Gastein valley tours (Angertal, Schlossalm piste tours, Tauern day tours) give a 3.5 for touring.",https://www.skigastein.com/en/webcams-in-skigastein/,"Same Ski amade Gastein ticket and dynamic pricing as Bad Gastein: main season online 69.50-81.50 EUR, office 81.50 EUR. Max elevation = Stubnerkogel 2,246 m (lift-linked with Schlossalm 2,050 m via Angertal; skiresort.com lists 2,300 m for the linked area). Base = Schlossalmbahn valley station (bus terminal). No winter pass closure from Italy (A10 Tauern motorway or Tauernschleuse car train). Milan route uses OSRM alternative avoiding closed Staller Sattel.",http://web.archive.org/web/20251215/https://www.skiamade.com/de/skigebiete/gastein/saisonzeiten | https://www.skigastein.com/en/tickets-lifts/operating-hours-lifts/ | https://www.skigastein.com/en/tickets-lifts/winter-tickets/day-tickets/ | https://www.skiamade.com/pdf/tarife/Tageskartentarife-Gastein-2026-27.pdf | https://www.skigastein.com/de/skigebiet/schlossalm-angertal-stubnerkogel | https://www.skiresort.com/en/ski-resort/bad-gastein-bad-hofgastein-schlossalm-angertal-stubnerkogel/,medium
Fieberbrunn,,AT,Tyrol,Skicircus Saalbach Hinterglemm Leogang Fieberbrunn,Non-glacier,2026-11-27,confirmed_2026_27,2096,270,82.0,82.0,EUR,published_2026_27,491,6.07,,4.5,3.0,"Freeride World Tour stop (Wildseeloder face) and self-styled freeride capital of Austria with strong guiding/freeride-camp scene; touring only moderate Kitzbühel Alps day tours (Wildseeloder, Henne).",https://www.fieberbrunn.com/en/live-info/webcams,"2025/26 Fieberbrunn lifts F1/F2 Streuböden, F4 Lärchfilzen, F6 Zillstatt ran from Skicircus opening day 28.11.2025 (season to 06.04.2026); 2026/27 planned 27.11.2026-04.04.2027; price = peak season 19.12.2026-12.03.2027 82 EUR, all tickets are Ski ALPIN CARD (also valid Schmitten Zell am See, Kitzsteinhorn/Maiskogel), +2 EUR keycard; 2096 m is the full Skicircus maximum; from Italy via Brenner-Inntal or Felbertauern tunnel (toll).",https://www.saalbach.com/en/winter/ski-resort/operating-hours | https://www.saalbach.com/en/winter/skitickets/peak-season | https://www.saalbach.com/en/winter/ski-resort | https://www.fieberbrunn.com/en/winter/ski-area/operating-hours | https://presse.tirol.at/skicircus-saalbach-hinterglemm-leogang-fieberbrunn-geplanter-start-des-skibetriebes-am-28-november-2025/274585/ | https://alpinfans.com/viewtopic.php?t=2860 | https://www.skiresort.com/en/ski-resort/saalbach-hinterglemm-leogang-fieberbrunn-skicircus/ | https://www.fieberbrunn.com/en/live-info/webcams,medium
Gargellen,,AT,Vorarlberg,Gargellen (Montafon),Non-glacier,2026-11-27,confirmed_2026_27,2300,29,,,EUR,,328,4.44,,3.5,4.0,"Renowned freeride/touring village: Nidla freeride run, Madrisa terrain, venue of 2027 FIS Freestyle/Freeski Worlds events; Madrisa-Rundtour (border tour to Klosters) and Raetikon day tours with local guides. Calibrated to 3.5 (village-scale area).",https://www.montafon.at/gargellen/de/besuch-planen/webcam,"Dynamic pricing, regular 1-day price not published (web shop only); static 2026/27 group rate (21-40 pax) 63.10 gives a lower bound. Multi-day WildPass Montafon covers Silvretta Montafon, Golm etc. 2025/26 actual opening not found. Base = Schafbergbahn valley station car park, Gargellen (1423 m), end of the Gargellen valley road. Elevation/km from skiresort.com. No published fixed day-pass price: Montafon-Brandnertal dynamic pricing (skiinfo 'from EUR 56' for 2025/26); peak price not published, left blank.",https://www.montafon.at/gargellen/de/besuch-planen/oeffnungszeiten | https://www.montafon.at/gargellen/de/besuch-planen/preise | https://www.montafon.at/gargellen/de | https://www.skiresort.com/en/ski-resort/gargellen/ | https://www.vorarlberg.travel/aktivitaet/betriebszeiten-skigebiete/,low
Kirchberg in Tirol,,AT,Tyrol,KitzSki,Non-glacier,2026-11-27,confirmed_2026_27,2000,188,83.0,83.0,EUR,published_2026_27,474,5.70,,3.0,3.0,"Dedicated Bichlalm freeride area and Zweitausender/Resterhöhe off-piste, but low grass mountains with limited steep terrain and no contest history; touring: popular easy Kitzbühel Alps day tours (Bichlalm, Kitzbüheler Horn) with modest variety.",https://www.kitzski.at/en/current-info/webcams.html,"Area date 07.11.2025 refers to Resterkogel (Pass Thurn); Kirchberg's own Fleckalmbahn ran from 22.11.2025 (2026/27 planned 27/28.11.2026); base = Fleckalmbahn valley station at Klausen (Maierlbahn in village alternative); price = Premium-Saison 20.12.2026-13.03.2027 ticket-office 83 EUR, online cheaper (flexible pricing); from Italy via Brenner-Inntal or Felbertauern (toll). Date refers to Kirchberg's Fleckalmbahn; KitzSki area opens earlier at Resterkogel (06.11.2026).",https://www.kitzski.at/de/fahrplan-winter-2024-25.html | https://www.kitzski.at/media/preise-26-27-hp-de.pdf | https://www.kitzbueheler-alpen.com/de/bri/wi/ski/kitzski-preise.html | https://www.snowplaza.de/weblog/ski-fahren-ab-november-kitzbuehel-setzt-auf-innovative-schneespeicherung/ | https://alpinfans.com/viewtopic.php?t=2857 | https://www.skiresort.com/en/ski-resort/kitzski-kitzbuehel-kirchberg/ | https://www.kitzski.at/en/current-info/webcams.html,medium
Kühtai,,AT,Tyrol,Kühtai–Hochoetz,Non-glacier,2026-11-27,confirmed_2026_27,2520,51,66.5,66.5,EUR,published_2026_27,425,5.09,,3.5,4.0,"Freeride Junior/FWQ venue with good high off-piste but small area; rubric anchor 4.0 for touring (Sellrain/Stubai Alps classics: Sulzkogel, Zwoelferkogel, Pirchkogel from the village).",https://www.kuehtai.info/winter/webcams-wetter/,"Fixed season pricing 2026/27: peak (19.12-6.1, 30.1-26.2) 66.50, regular 63, low 50.50; 1-day ticket is Kuehtai-only, Kuehtai-Hochoetz (>90 km) only from 2-day passes. Austria's highest village (2020 m); Kuehtai saddle road from Oetz/Sellrain open in winter. skiresort.com measures 49.8 km. skiinfo lists 28 Nov 2026 vs official 27 Nov.",https://www.kuehtai.info/ | https://www.kuehtai.info/winter/skipass-preise/ | https://www.bergfex.com/kuehtai/preise/ | https://www.skiresort.com/en/ski-resort/kuehtai/ | https://skinachrichten.de/saisonstart-alle-infos-zu-den-saisonzeiten-der-skigebiete/,medium
Leogang,,AT,Salzburg,Skicircus Saalbach Hinterglemm Leogang Fieberbrunn,Non-glacier,2026-11-27,confirmed_2026_27,2096,270,82.0,82.0,EUR,published_2026_27,505,6.28,,3.5,3.0,"Asitz/Steinberg side has moderate off-piste and belongs to the Skicircus with FWT venue Fieberbrunn, but is lower and more piste-oriented than Saalbach; Leoganger Steinberge tours are few and steep, limited variety.",https://www.saalfelden-leogang.com/en/news-events/webcams,"Same Ski ALPIN CARD pricing as Saalbach: peak 19.12.2026-12.03.2027 at 82 EUR fixed, winter start 74 EUR. Base = Asitzbahn valley station (Leogang-Huetten). 2025/26 opened 28 Nov 2025 (Asitzbahn, Poltenlift), full Skicircus connections 5 Dec 2025. No winter pass closure from Italy (Brenner/Pass Thurn).",https://www.saalfelden-leogang.com/peak-season | https://www.saalfelden-leogang.com/en/service-info/press/planned-start-of-the-ski-season-november-28-2025_presse_9080802 | https://www.saalbach.com/en/winter/skitickets/skitickets-shlf | https://www.alpinforum.com/forum/viewtopic.php?t=71418 | https://www.skiresort.com/en/ski-resort/saalbach-hinterglemm-leogang-fieberbrunn-skicircus/,high
Saalbach-Hinterglemm,,AT,Salzburg,Skicircus Saalbach Hinterglemm Leogang Fieberbrunn,Non-glacier,2026-11-27,confirmed_2026_27,2096,270,82.0,82.0,EUR,published_2026_27,537,6.86,,3.5,3.0,Marked freeride routes and Freeride Park on Schattberg/Zwoelferkogel and lift link to FWT venue Fieberbrunn justify 4.0; Glemmtal touring is gentle grass-mountain terrain with limited high-alpine variety. Calibrated to 3.5 (piste-oriented resort).,https://www.saalbach.com/en/live-info/livecams,"Peak 19.12.2026-12.03.2027 at 82 EUR fixed (Ski ALPIN CARD, also valid Schmittenhoehe and Kitzsteinhorn = 408 km network, areas not lift-linked); winter start 27.11-18.12.2026 at 74 EUR. 2025/26 opened 28 Nov 2025 with limited lifts (Schoenleiten, Asitz), all connections from 5 Dec 2025. From Italy via Brenner/Pass Thurn - no winter pass closure. Milan route uses OSRM alternative avoiding closed Staller Sattel.",https://www.saalbach.com/en/winter/skitickets/skitickets-shlf | https://www.saalbach.com/en/winter/skitickets/winter-start | https://www.saalfelden-leogang.com/peak-season | https://www.saalfelden-leogang.com/en/service-info/press/planned-start-of-the-ski-season-november-28-2025_presse_9080802 | https://www.alpinforum.com/forum/viewtopic.php?t=71418 | https://www.saalbach.com/en/winter/ski-resort | https://www.skiresort.com/en/ski-resort/saalbach-hinterglemm-leogang-fieberbrunn-skicircus/,high
Schruns – Silvretta Montafon Hochjoch,,AT,Vorarlberg,Silvretta Montafon,Non-glacier,2026-11-27,confirmed_2026_27,2430,142,77.0,77.0,EUR,estimated_from_2025_26,314,4.21,,3.5,3.5,"Hochjoch sector is the gentler half of Silvretta Montafon (family/on-piste), some off-piste bowls; touring in Verwall/Raetikon moderate.",https://www.silvretta-montafon.at/en/webcams,"Dynamic pricing (season phase, weekday, demand, booking time); 77 = skiresort.com listed 2025/26 day ticket, peak online price may differ; 2026/27 prices only in web shop. Hochjoch Bahn itself runs 19 Dec-4 Apr; early season via Zamang Bahn. 2025/26 actual opening not found. Base = Hochjochbahn valley station, Schruns. skiinfo lists 21 Nov 2026 vs official 27 Nov.",https://www.silvretta-montafon.at/en/info-service/opening-times | https://www.silvretta-montafon.at/en/tickets-prices/winter/day-multi-day-tickets | https://www.skiresort.com/en/ski-resort/silvretta-montafon/ | https://www.vorarlberg.travel/aktivitaet/betriebszeiten-skigebiete/ | https://skinachrichten.de/saisonstart-alle-infos-zu-den-saisonzeiten-der-skigebiete/,medium
Flachau,,AT,Salzburg,Snow Space Salzburg,Non-glacier,2026-11-28,confirmed_2026_27,1980,120,69.0,81.0,EUR,published_2026_27,624,6.62,,3.0,3.0,"Piste-focused 900-2,000 m grass mountains with only some tree runs and no freeride reputation; touring is limited to piste tours and easy Pongau day tours.",https://www.snow-space.com/de/winter/informationen-skigebiet/live/webcams,"Ski amade dynamic pricing: 12 Peaks region main season 19.12.2026-26.03.2027 adult day online 69.00-81.00 EUR, ticket office 81.00 EUR (other Ski amade regions 81.00-81.50); pre/post season 64.50-75.50. One-day Ski amade tickets valid only in the purchased region. 12 Peaks ski connection/winter opening planned 5 Dec 2026. Elevation from skiresort.com. Base = Achterjet valley station. From Italy via Tauern motorway A10 or Brenner - no winter closure.",https://www.snow-space.com/betriebszeiten | http://web.archive.org/web/20251120/https://www.snow-space.com/betriebszeiten | https://www.wagrain24.at/saisonstart-wagrain/ | https://www.skiamade.com/pdf/tarife/tageskartentarife-12-Gipfel-Skiregion-2026-27.pdf | https://www.skiamade.com/en/live-infos/winter-opening-times | https://www.snow-space.com/en/winter/skitickets/one-day-tickets | https://www.snow-space.com/en/winter/ski-resort-salzburg | https://www.skiresort.com/en/ski-resort/snow-space-salzburg-flachau-wagrain-st-johann-alpendorf/,medium
Gaschurn–St. Gallenkirch – Silvretta Montafon Nova,,AT,Vorarlberg,Silvretta Montafon,Non-glacier,2026-11-28,confirmed_2026_27,2430,142,77.0,77.0,EUR,estimated_from_2025_26,321,4.32,,4.0,3.5,Nova sector hosted Open Faces FWQ events and has the steep Hochalpila/Nova Stoba freeride terrain and strong local freeride scene; touring moderate (Verwall/Silvretta access via Bielerhoehe closed).,https://www.silvretta-montafon.at/en/webcams,"Same lift company and day pass as row 127 (dynamic pricing; 77 = skiresort.com 2025/26 listing). Base = Valisera Bahn valley station, St. Gallenkirch (alternative Versettla Bahn, Gaschurn 46.98501/10.02554). Silvretta-Hochalpenstrasse closed in winter. 2025/26 actual opening not found.",https://www.silvretta-montafon.at/en/info-service/opening-times | https://www.silvretta-montafon.at/en/tickets-prices/winter/day-multi-day-tickets | https://www.skiresort.com/en/ski-resort/silvretta-montafon/ | https://www.vorarlberg.travel/aktivitaet/betriebszeiten-skigebiete/,medium
St. Johann–Alpendorf,,AT,Salzburg,Snow Space Salzburg,Non-glacier,2026-11-28,confirmed_2026_27,1980,120,69.0,81.0,EUR,published_2026_27,643,6.95,,3.0,3.0,Alpendorf/Gernkogel side is family and piste oriented with negligible freeride; touring limited to a few easy Pongau tours.,https://www.snow-space.com/de/winter/informationen-skigebiet/live/webcams,"Snow Space season opened 29 Nov 2025 in Flachau/Wagrain, but Alpendorf lifts started Fri 5 Dec 2025 (12 Peaks connection 6 Dec 2025). 2026/27 published start 28 Nov 2026 is for Snow Space as a whole; Alpendorf may again open later. Ski amade dynamic pricing (12 Peaks region): main season online 69.00-81.00 EUR, office 81.00 EUR. Base = Alpendorf gondola valley station. Elevation from skiresort.com.",http://web.archive.org/web/20251202/https://www.snow-space.com/offenelifte | https://www.snow-space.com/betriebszeiten | https://www.skiamade.com/pdf/tarife/tageskartentarife-12-Gipfel-Skiregion-2026-27.pdf | https://www.skiamade.com/en/live-infos/winter-opening-times | https://www.snow-space.com/en/winter/skitickets/one-day-tickets | https://www.skiresort.com/en/ski-resort/snow-space-salzburg-flachau-wagrain-st-johann-alpendorf/,medium
Wagrain,,AT,Salzburg,Snow Space Salzburg,Non-glacier,2026-11-28,confirmed_2026_27,1980,120,69.0,81.0,EUR,published_2026_27,633,6.76,,3.0,3.0,Same piste-oriented Snow Space terrain (Griessenkareck/Grafenberg) with little off-piste; touring options are modest local tours (Kleinarl valley) only.,https://www.snow-space.com/de/winter/informationen-skigebiet/live/webcams,"Ski amade dynamic pricing (12 Peaks region): main season 19.12.2026-26.03.2027 adult day online 69.00-81.00 EUR, ticket office 81.00 EUR; pre/post season 64.50-75.50. Base = Flying Mozart valley station in Wagrain. 12 Peaks connection/winter opening planned 5 Dec 2026. Elevation from skiresort.com. No winter pass closures from Italy (A10 Tauern motorway).",https://www.snow-space.com/betriebszeiten | https://www.wagrain24.at/saisonstart-wagrain/ | https://www.skiamade.com/pdf/tarife/tageskartentarife-12-Gipfel-Skiregion-2026-27.pdf | https://www.skiamade.com/en/live-infos/winter-opening-times | https://www.snow-space.com/en/winter/skitickets/one-day-tickets | https://www.skiresort.com/en/ski-resort/snow-space-salzburg-flachau-wagrain-st-johann-alpendorf/,medium
Zell am See,,AT,Salzburg,Schmittenhöhe (Zell am See-Kaprun),Non-glacier,2026-11-28,estimated_from_2025_26,2000,77,82.0,82.0,EUR,published_2026_27,529,6.75,,3.0,3.0,"Schmittenhoehe is a piste-oriented 2,000 m grass mountain with only modest side-country; touring is limited to piste tours and a few Pinzgau day tours, so both scores stay at 3.0.",https://www.schmitten.at/en/Service/Webcams,"Day ticket = Ski ALPIN CARD (fixed price, valid Schmitten + Kitzsteinhorn + Skicircus): peak 19.12.2026-12.03.2027 at 82 EUR, winter start/bonus 74 EUR. 2025/26: preview weekend 29-30 Nov 2025 (trassXpress, areitXpress, Glocknerbahn, Hirschkogel, Breiteck) announced officially, regular start 5 Dec 2025 - verify preview ran. Schmitten's own 2026/27 start date not yet published (ALPIN CARD winter-start ticket period begins 27.11.2026). Base = Schmittenhoehebahn valley station (alt. areitXpress Schuettdorf). Milan route uses OSRM alternative avoiding closed Staller Sattel.",https://www.schmitten.at/en/Tickets-Prices/Wintertickets | https://www.schmitten.at/en/Magazine/Start-of-the-2025/26-winter-season-on-the-Schmittenhohe-in-Zell-am-See_bba_6211 | https://www.alpinforum.com/forum/viewtopic.php?p=5495989 | https://www.skiresort.com/en/ski-resort/schmittenhoehe-zell-am-see/,medium
Lech–Zürs,,AT,Vorarlberg,Ski Arlberg,Non-glacier,2026-12-02,confirmed_2026_27,2811,300,85.0,85.0,EUR,published_2026_27,340,4.57,,4.5,3.5,"Rubric anchor 4.5: famous Zuers/Madloch/Zuger Hochlicht off-piste and Austria's only heli-skiing, strong guide scene; touring (Lechquellen) decent but secondary.",https://www.lechzuers.com/en/live-infos/webcams,Base = Ruefikopfbahn I valley station in Lech centre. Flexenpass road Stuben-Zuers-Lech open in winter (galleries); Lech-Warth road closed in winter (ski link via Auenfeldjet). Price = Ski Arlberg 2026/27 high-season tariff from partner tariff table (skiarlberg.at says rates being finalised); 2025/26 was 81.50.,https://www.skiarlberg.at/en/lech-zuers/tickets-season-times/season-times | https://www.stantonamarlberg.com/images/stories/pdf-dateien/saisonzeiten/saisonzeiten2025-2026.pdf | https://www.lechtaler-bergbahnen.at/de/ski-arlberg-tarife-winter.html | https://www.gsi-news.at/2025/12/05/schneereicher-ski-saisonstart-in-lech-zuers-am-arlberg/ | https://www.skiresort.com/en/ski-resort/st-anton-st-christoph-stuben-lech-zuers-warth-schroecken-ski-arlberg/,high
